outage,earliest,latest,possible_duration_hours,probably_ended,min_estCustAffected,max_estCustAffected,region,latitude,longitude
649529,1570617617,1570622425,1.34,1,1,1,Nevada City,39.26549,-121.0895
649530,1570617617,1570768223,41.84,1,0,435,Norden,39.31407,-120.49629
649531,1570617617,1570622425,1.34,1,1,8,Nevada City,39.2435,-120.92716
649532,1570617617,1570622425,1.34,1,1,1,Nevada City,39.26432,-121.0228
649533,1570617617,1570622425,1.34,1,1,1,Nevada City,39.27747,-121.07049
649534,1570617617,1570622425,1.34,1,1,1,Grass Valley,39.21376,-121.07993
649535,1570617617,1570818628,55.84,1,254,1640,Colfax,39.03627,-120.98813
649536,1570617617,1570702218,23.5,1,21,21,Kneeland,40.75954,-123.99341
649537,1570617617,1570630837,3.67,1,1,1,Loma Rica,39.31058,-121.41169
649538,1570617617,1570630837,3.67,1,1,1,Red Bluff,40.06393,-122.31482
649539,1570617617,1570622425,1.34,1,1,1,Grass Valley,39.14194000000001,-120.98633
649540,1570617617,1570631453,3.84,1,1,206,Yuba City,39.12198,-121.60818
649541,1570617617,1570622425,1.34,1,1,1,Alta Sierra,39.14651,-121.04362
649542,1570617617,1570622425,1.34,1,1,1,Nevada City,39.23843,-120.99779
649543,1570617617,1570630837,3.67,1,1,19,Yuba City,39.12224000000001,-121.60946
649544,1570617617,1570764016,40.67,1,285,351,Colfax,39.03628,-120.98824
649545,1570617617,1570823432,57.17,1,388,534,Alta,39.214,-120.80984
649546,1570617617,1570839046,61.51,1,4,198,Alta,39.25619,-120.76687
649547,1570617617,1570765818,41.17,1,575,1601,Red Bluff,40.18279,-122.24484
649548,1570617617,1570810820,53.67,1,455,1896,Colfax,39.1155,-120.95403
